Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,Sensation_seeking,Caffeine,Cannabis,Meth
35-44,0,Masters degree,27.0,41.0,40.0,38.0,43.0,-1.37983,-2.07848,2,0,0
45-54,0,Masters degree,17.0,53.0,56.0,48.0,47.0,0.88113,0.40148,6,1,0
45-54,0,Masters degree,43.0,35.0,49.0,45.0,31.0,-0.71126,0.7654,6,1,2
55-64,1,Doctorate degree,26.0,40.0,46.0,45.0,42.0,0.52975,-0.8463700000000001,6,0,0
25-34,0,University degree,38.0,41.0,38.0,45.0,44.0,-0.71126,-0.21575,6,3,0
35-44,1,Masters degree,38.0,46.0,47.0,37.0,46.0,-0.21712,0.7654,6,3,0
35-44,0,Masters degree,40.0,37.0,47.0,46.0,52.0,-1.37983,-0.21575,6,1,0
55-64,1,Doctorate degree,27.0,43.0,42.0,41.0,38.0,-0.21712,-0.52593,3,0,0
25-34,1,College or university dropout,26.0,49.0,53.0,48.0,41.0,0.52975,0.07987000000000001,5,4,0
45-54,0,University degree,33.0,37.0,44.0,48.0,42.0,-0.71126,-0.52593,6,0,0
45-54,1,Masters degree,24.0,45.0,48.0,46.0,45.0,0.19268,-0.52593,6,1,0
55-64,1,Masters degree,35.0,41.0,51.0,43.0,35.0,-0.71126,-0.8463700000000001,6,0,0
45-54,0,College or university dropout,36.0,38.0,30.0,42.0,41.0,-0.71126,-0.8463700000000001,6,0,0
45-54,0,Masters degree,35.0,40.0,47.0,49.0,48.0,0.19268,0.40148,5,1,0
45-54,1,University degree,27.0,50.0,47.0,41.0,47.0,0.19268,0.40148,6,0,0
35-44,1,Professional certificate/ diploma,25.0,34.0,51.0,40.0,44.0,1.29221,-0.21575,6,2,0
35-44,1,University degree,27.0,48.0,41.0,41.0,44.0,-1.37983,-0.21575,6,0,0
45-54,0,University degree,38.0,30.0,45.0,34.0,41.0,-1.37983,-2.07848,6,0,0
45-54,1,Masters degree,39.0,42.0,43.0,46.0,35.0,-0.21712,-0.21575,6,1,0
25-34,1,College or university dropout,42.0,42.0,41.0,41.0,42.0,-0.21712,-1.5485799999999998,6,0,0
25-34,0,Masters degree,19.0,44.0,41.0,53.0,49.0,-1.37983,-1.18084,6,2,0
35-44,0,Professional certificate/ diploma,27.0,46.0,40.0,52.0,48.0,-1.37983,-1.5485799999999998,5,0,0
35-44,0,College or university dropout,42.0,32.0,49.0,38.0,39.0,-1.37983,-0.52593,4,5,0
45-54,0,Professional certificate/ diploma,35.0,39.0,42.0,39.0,45.0,-0.71126,-0.52593,6,0,0
25-34,0,Professional certificate/ diploma,47.0,40.0,45.0,38.0,39.0,0.19268,-0.21575,3,3,0
18-24,0,Left school at 17,32.0,43.0,45.0,39.0,41.0,-0.71126,-0.8463700000000001,4,0,0
35-44,1,Professional certificate/ diploma,49.0,37.0,47.0,43.0,42.0,-0.71126,-0.52593,5,2,0
65+,0,Left school at 16,44.0,34.0,47.0,42.0,49.0,-0.21712,-0.52593,6,0,0
35-44,0,University degree,37.0,38.0,36.0,53.0,45.0,-0.21712,-1.5485799999999998,6,0,0
35-44,0,Professional certificate/ diploma,44.0,33.0,45.0,46.0,46.0,-0.71126,-0.8463700000000001,4,0,0
25-34,0,College or university dropout,33.0,37.0,35.0,44.0,46.0,-1.37983,-1.5485799999999998,2,0,0
35-44,0,Doctorate degree,41.0,37.0,41.0,47.0,48.0,-0.71126,-0.8463700000000001,6,0,0
55-64,0,Professional certificate/ diploma,34.0,44.0,46.0,38.0,39.0,-0.21712,0.07987000000000001,6,2,0
45-54,0,University degree,32.0,40.0,37.0,42.0,48.0,-0.21712,-1.18084,6,0,0
45-54,0,University degree,26.0,22.0,37.0,53.0,43.0,-0.71126,-1.5485799999999998,6,0,0
35-44,1,Masters degree,38.0,31.0,40.0,36.0,47.0,-1.37983,-0.8463700000000001,6,2,0
45-54,1,Masters degree,31.0,36.0,41.0,50.0,47.0,-0.71126,-0.52593,6,2,0
35-44,0,Left school at 18,21.0,45.0,45.0,43.0,52.0,0.19268,0.07987000000000001,6,0,0
35-44,1,Masters degree,28.0,41.0,45.0,47.0,45.0,-1.37983,-2.07848,6,0,0
45-54,0,University degree,24.0,39.0,40.0,44.0,46.0,-1.37983,-1.5485799999999998,6,0,0
18-24,0,Left school at 16,47.0,36.0,32.0,41.0,41.0,1.86203,0.7654,6,1,0
45-54,0,Masters degree,32.0,40.0,43.0,45.0,43.0,-1.37983,-0.52593,6,0,0
25-34,0,Masters degree,36.0,51.0,48.0,47.0,50.0,0.19268,-0.52593,6,0,0
18-24,0,Left school at 18,30.0,41.0,41.0,44.0,41.0,-0.71126,-1.18084,6,0,0
45-54,0,Doctorate degree,28.0,45.0,50.0,43.0,45.0,-0.71126,-0.52593,6,0,0
55-64,0,University degree,31.0,45.0,53.0,40.0,36.0,1.86203,0.40148,6,3,0
35-44,1,University degree,28.0,52.0,39.0,43.0,49.0,-0.71126,-0.52593,6,2,0
25-34,0,Professional certificate/ diploma,36.0,40.0,41.0,45.0,48.0,-1.37983,-1.18084,6,0,0
45-54,0,Left school at 16,39.0,38.0,37.0,42.0,46.0,0.88113,0.40148,0,0,0
45-54,0,University degree,43.0,38.0,42.0,36.0,41.0,-1.37983,-1.18084,6,1,0
35-44,0,College or university dropout,41.0,38.0,39.0,54.0,52.0,-1.37983,-2.07848,6,0,0
18-24,0,University degree,28.0,43.0,49.0,49.0,43.0,-0.21712,0.40148,6,2,0
45-54,1,Left school at 17,45.0,32.0,34.0,45.0,36.0,-0.71126,0.07987000000000001,6,2,0
25-34,0,Doctorate degree,38.0,40.0,55.0,37.0,48.0,0.19268,-0.52593,6,1,0
35-44,0,Professional certificate/ diploma,28.0,48.0,45.0,49.0,55.0,0.19268,-0.52593,5,0,0
35-44,1,Left school at 18,30.0,28.0,32.0,49.0,45.0,0.52975,0.07987000000000001,4,4,0
45-54,1,Masters degree,20.0,50.0,46.0,53.0,50.0,-1.37983,-0.8463700000000001,6,0,0
25-34,0,Professional certificate/ diploma,38.0,38.0,37.0,50.0,38.0,-1.37983,-2.07848,6,1,0
45-54,1,Professional certificate/ diploma,32.0,43.0,39.0,46.0,41.0,0.52975,-0.21575,6,1,0
45-54,0,Professional certificate/ diploma,26.0,43.0,41.0,48.0,47.0,-0.21712,-0.21575,6,0,0
35-44,1,Left school before 16,33.0,37.0,39.0,40.0,46.0,-1.37983,-0.8463700000000001,6,2,0
55-64,0,Left school at 18,31.0,37.0,35.0,49.0,47.0,-1.37983,-1.5485799999999998,5,0,0
18-24,0,College or university dropout,59.0,26.0,40.0,46.0,28.0,0.19268,-0.52593,6,5,0
65+,1,College or university dropout,24.0,37.0,39.0,44.0,43.0,1.29221,-0.21575,6,0,0
65+,0,Left school at 16,34.0,39.0,36.0,34.0,42.0,-0.21712,0.7654,6,0,0
25-34,0,Masters degree,40.0,36.0,50.0,46.0,34.0,1.86203,0.7654,6,3,0
45-54,0,Masters degree,42.0,41.0,45.0,43.0,50.0,-0.21712,-0.8463700000000001,0,0,0
45-54,0,Professional certificate/ diploma,30.0,42.0,53.0,31.0,45.0,1.86203,0.40148,6,2,0
35-44,1,Doctorate degree,20.0,48.0,48.0,48.0,51.0,-0.21712,0.40148,0,0,0
45-54,0,Professional certificate/ diploma,34.0,38.0,42.0,49.0,47.0,-1.37983,-0.21575,3,0,0
35-44,0,Masters degree,31.0,47.0,52.0,45.0,45.0,-2.55524,-0.21575,6,6,0
55-64,0,Professional certificate/ diploma,21.0,46.0,44.0,49.0,53.0,-2.55524,-1.5485799999999998,6,0,0
55-64,0,Professional certificate/ diploma,42.0,40.0,46.0,42.0,46.0,0.19268,-0.52593,6,0,0
18-24,0,Left school before 16,38.0,39.0,46.0,42.0,39.0,0.88113,-0.8463700000000001,6,6,2
35-44,0,Masters degree,20.0,41.0,55.0,54.0,49.0,-0.71126,-0.8463700000000001,6,1,1
35-44,0,University degree,36.0,43.0,45.0,49.0,44.0,0.19268,-0.21575,6,2,0
45-54,0,University degree,34.0,51.0,56.0,57.0,44.0,1.86203,1.2247,6,3,0
45-54,1,Masters degree,27.0,45.0,46.0,43.0,45.0,-1.37983,-1.5485799999999998,6,1,2
45-54,1,Professional certificate/ diploma,30.0,42.0,43.0,42.0,44.0,-0.21712,-1.18084,6,0,0
45-54,1,University degree,41.0,35.0,42.0,44.0,41.0,-0.21712,0.40148,6,3,0
35-44,0,College or university dropout,46.0,36.0,52.0,51.0,37.0,0.88113,-0.21575,6,2,2
35-44,1,Professional certificate/ diploma,40.0,41.0,46.0,40.0,38.0,-0.21712,0.40148,5,4,3
45-54,1,University degree,34.0,35.0,49.0,48.0,31.0,0.19268,-0.21575,6,1,1
25-34,1,Left school at 16,31.0,40.0,45.0,39.0,45.0,0.52975,-0.8463700000000001,5,2,0
35-44,1,Professional certificate/ diploma,38.0,39.0,46.0,45.0,40.0,-0.71126,0.40148,6,1,2
25-34,1,Left school before 16,42.0,40.0,54.0,54.0,48.0,1.86203,1.92173,6,3,3
45-54,1,University degree,25.0,39.0,37.0,52.0,45.0,-0.71126,0.07987000000000001,6,1,0
35-44,1,Left school at 16,57.0,31.0,39.0,31.0,29.0,1.86203,1.92173,5,3,0
35-44,1,College or university dropout,40.0,34.0,52.0,44.0,39.0,0.52975,-0.21575,6,2,0
25-34,0,College or university dropout,30.0,50.0,50.0,44.0,45.0,1.29221,1.92173,6,2,2
45-54,0,University degree,41.0,45.0,46.0,44.0,41.0,-0.21712,0.07987000000000001,6,2,0
35-44,0,Professional certificate/ diploma,42.0,44.0,53.0,49.0,50.0,0.88113,0.40148,6,3,2
45-54,1,University degree,40.0,42.0,45.0,47.0,45.0,-0.71126,-0.52593,6,2,2
45-54,0,Professional certificate/ diploma,48.0,39.0,37.0,48.0,45.0,-1.37983,-2.07848,6,0,0
35-44,0,Doctorate degree,40.0,39.0,47.0,43.0,38.0,-0.21712,-0.21575,5,1,0
45-54,1,Professional certificate/ diploma,34.0,40.0,42.0,40.0,32.0,-1.37983,-1.5485799999999998,6,1,0
35-44,0,University degree,26.0,43.0,45.0,42.0,46.0,-1.37983,-1.18084,6,0,0
45-54,0,University degree,25.0,43.0,48.0,46.0,44.0,0.19268,-0.21575,6,2,2
25-34,1,Professional certificate/ diploma,35.0,33.0,34.0,44.0,47.0,-0.21712,-0.8463700000000001,6,6,0
25-34,0,University degree,48.0,42.0,48.0,48.0,37.0,0.19268,-0.21575,6,2,0
18-24,1,Left school at 18,38.0,42.0,47.0,37.0,40.0,-0.71126,0.07987000000000001,6,6,0
35-44,0,University degree,46.0,54.0,56.0,34.0,45.0,1.29221,1.92173,6,2,0
18-24,0,College or university dropout,45.0,46.0,38.0,47.0,44.0,-0.21712,0.40148,4,3,0
45-54,1,University degree,32.0,27.0,51.0,37.0,43.0,-0.21712,-0.52593,6,4,0
55-64,0,Masters degree,33.0,48.0,52.0,53.0,49.0,-0.71126,-1.18084,6,0,0
65+,1,Professional certificate/ diploma,37.0,41.0,48.0,34.0,51.0,-1.37983,-0.8463700000000001,6,0,0
45-54,0,Masters degree,27.0,40.0,41.0,44.0,48.0,-0.71126,0.40148,6,2,0
25-34,0,University degree,31.0,36.0,34.0,46.0,38.0,-0.71126,-1.18084,6,1,0
25-34,1,Masters degree,44.0,33.0,50.0,47.0,47.0,0.52975,-0.21575,4,0,0
45-54,0,Professional certificate/ diploma,44.0,37.0,51.0,43.0,44.0,-0.21712,-0.21575,6,1,0
35-44,1,University degree,31.0,47.0,44.0,39.0,43.0,0.19268,0.7654,6,2,2
35-44,1,Left school at 16,32.0,36.0,38.0,37.0,36.0,1.29221,-0.52593,6,6,0
35-44,0,Masters degree,28.0,41.0,45.0,41.0,47.0,0.19268,0.40148,6,1,0
45-54,0,University degree,37.0,38.0,43.0,50.0,47.0,-2.55524,-0.52593,6,0,0
45-54,0,University degree,33.0,41.0,39.0,48.0,46.0,0.19268,-1.5485799999999998,0,0,0
25-34,1,Professional certificate/ diploma,30.0,37.0,29.0,44.0,39.0,-0.71126,-0.21575,6,2,0
45-54,1,Left school at 18,19.0,43.0,38.0,53.0,46.0,-0.71126,-0.52593,6,0,0
25-34,1,University degree,24.0,42.0,42.0,34.0,54.0,-0.71126,0.07987000000000001,0,0,0
35-44,1,Professional certificate/ diploma,37.0,38.0,47.0,42.0,40.0,-0.21712,-0.8463700000000001,6,1,1
25-34,1,Doctorate degree,30.0,42.0,45.0,44.0,46.0,-1.37983,-1.5485799999999998,6,1,0
35-44,0,College or university dropout,29.0,37.0,48.0,44.0,42.0,0.19268,-0.8463700000000001,6,1,3
25-34,0,University degree,42.0,40.0,47.0,45.0,43.0,-0.71126,-0.52593,6,2,0
35-44,0,Left school at 17,31.0,42.0,42.0,43.0,49.0,-0.71126,-1.18084,6,0,0
25-34,0,Professional certificate/ diploma,28.0,39.0,30.0,39.0,51.0,-1.37983,-2.07848,0,0,0
25-34,1,Professional certificate/ diploma,23.0,44.0,45.0,38.0,53.0,0.52975,0.40148,6,1,1
35-44,1,University degree,38.0,48.0,43.0,33.0,36.0,1.86203,1.2247,4,2,0
35-44,0,University degree,20.0,44.0,39.0,41.0,46.0,-0.21712,-0.52593,6,2,0
45-54,1,Professional certificate/ diploma,37.0,43.0,40.0,33.0,45.0,1.29221,1.2247,6,0,0
25-34,0,Masters degree,28.0,42.0,48.0,34.0,48.0,0.88113,-0.52593,6,5,0
45-54,1,Masters degree,27.0,48.0,55.0,49.0,46.0,-0.71126,-1.18084,5,1,0
25-34,0,Left school at 18,34.0,39.0,32.0,47.0,47.0,-0.71126,-0.8463700000000001,6,1,0
45-54,1,Left school at 16,37.0,32.0,43.0,32.0,37.0,1.86203,1.2247,6,6,0
18-24,1,College or university dropout,27.0,35.0,44.0,39.0,32.0,0.52975,0.40148,5,5,0
18-24,1,University degree,23.0,44.0,44.0,38.0,39.0,-1.37983,-0.52593,5,5,0
45-54,1,Left school at 17,45.0,39.0,45.0,42.0,44.0,0.88113,0.07987000000000001,6,6,0
18-24,0,Left school before 16,37.0,50.0,57.0,51.0,42.0,1.29221,0.7654,6,5,0
45-54,0,University degree,53.0,33.0,56.0,43.0,39.0,0.19268,0.40148,6,6,0
35-44,1,Left school at 17,49.0,39.0,44.0,41.0,37.0,-0.21712,0.07987000000000001,6,6,0
25-34,1,University degree,29.0,41.0,50.0,44.0,40.0,0.19268,-1.5485799999999998,6,6,6
35-44,0,Professional certificate/ diploma,22.0,45.0,51.0,45.0,46.0,-0.21712,0.40148,6,6,3
45-54,1,Left school at 18,46.0,30.0,49.0,49.0,31.0,0.88113,0.40148,6,6,6
35-44,0,College or university dropout,31.0,29.0,48.0,44.0,29.0,-0.21712,-0.8463700000000001,3,1,0
25-34,0,University degree,37.0,47.0,39.0,46.0,40.0,-0.71126,-0.52593,3,2,0
35-44,1,College or university dropout,36.0,39.0,51.0,44.0,39.0,-0.21712,-0.21575,6,6,0
35-44,0,College or university dropout,20.0,42.0,38.0,42.0,37.0,0.19268,-0.21575,6,1,0
18-24,1,Left school at 18,30.0,32.0,42.0,29.0,56.0,-0.21712,0.7654,6,6,0
18-24,1,College or university dropout,35.0,35.0,48.0,28.0,32.0,0.19268,0.7654,6,6,0
25-34,1,College or university dropout,28.0,46.0,47.0,36.0,37.0,1.29221,1.92173,5,2,0
25-34,0,Doctorate degree,39.0,40.0,53.0,40.0,45.0,-0.21712,-0.21575,6,4,0
25-34,1,University degree,42.0,41.0,45.0,41.0,43.0,0.19268,-0.52593,6,0,0
18-24,1,Left school at 18,39.0,45.0,46.0,37.0,49.0,0.52975,0.7654,6,6,0
25-34,1,College or university dropout,39.0,27.0,36.0,41.0,39.0,0.52975,-0.8463700000000001,6,2,0
35-44,1,Professional certificate/ diploma,28.0,39.0,46.0,54.0,37.0,-0.21712,-1.18084,6,6,1
35-44,0,University degree,26.0,45.0,41.0,51.0,48.0,-0.21712,-0.8463700000000001,6,0,0
45-54,0,Doctorate degree,41.0,40.0,56.0,49.0,42.0,1.29221,0.40148,6,6,1
35-44,1,University degree,32.0,38.0,47.0,41.0,29.0,-0.21712,-0.8463700000000001,6,5,0
45-54,1,Left school at 16,38.0,40.0,44.0,42.0,42.0,0.52975,-0.21575,5,1,0
35-44,1,University degree,42.0,34.0,45.0,34.0,41.0,0.88113,0.07987000000000001,6,6,0
25-34,0,Left school at 18,27.0,39.0,31.0,45.0,47.0,-1.37983,-1.5485799999999998,6,2,0
25-34,1,Left school before 16,38.0,33.0,36.0,38.0,40.0,-0.21712,-0.21575,6,1,0
25-34,0,Left school at 18,36.0,42.0,39.0,49.0,34.0,0.19268,-0.21575,6,2,0
25-34,1,University degree,33.0,38.0,34.0,45.0,43.0,-0.71126,-1.18084,5,0,0
45-54,0,Left school at 16,38.0,52.0,38.0,51.0,41.0,1.86203,0.7654,2,2,0
18-24,0,University degree,34.0,46.0,35.0,56.0,52.0,-0.21712,-0.52593,6,0,0
25-34,0,University degree,36.0,43.0,38.0,47.0,53.0,-0.71126,-0.52593,4,0,0
55-64,1,College or university dropout,29.0,38.0,53.0,54.0,47.0,-1.37983,-1.18084,2,6,0
45-54,1,Left school at 16,23.0,43.0,48.0,37.0,45.0,0.52975,0.40148,6,6,1
25-34,0,University degree,59.0,37.0,40.0,31.0,26.0,0.88113,0.07987000000000001,6,2,2
18-24,0,College or university dropout,49.0,38.0,48.0,42.0,28.0,0.19268,-0.21575,5,4,0
35-44,0,University degree,31.0,43.0,42.0,48.0,53.0,-0.21712,-0.52593,6,2,0
18-24,0,College or university dropout,29.0,49.0,31.0,43.0,46.0,0.52975,0.07987000000000001,5,2,0
25-34,0,Masters degree,27.0,40.0,48.0,42.0,42.0,0.19268,0.07987000000000001,6,6,0
35-44,1,Left school at 16,40.0,44.0,41.0,38.0,40.0,-0.21712,-0.21575,6,1,0
45-54,0,Professional certificate/ diploma,31.0,45.0,50.0,44.0,47.0,-2.55524,-0.8463700000000001,6,0,0
45-54,0,University degree,46.0,33.0,42.0,37.0,45.0,-0.21712,-1.5485799999999998,6,0,0
25-34,0,University degree,38.0,32.0,49.0,58.0,37.0,-0.71126,0.40148,5,3,3
25-34,1,Masters degree,36.0,39.0,40.0,38.0,33.0,1.29221,0.07987000000000001,6,2,0
18-24,0,College or university dropout,47.0,49.0,53.0,31.0,35.0,1.29221,1.2247,6,3,0
18-24,1,University degree,32.0,44.0,49.0,41.0,47.0,-0.21712,0.07987000000000001,3,3,3
18-24,0,University degree,43.0,39.0,40.0,47.0,34.0,0.52975,0.07987000000000001,6,5,0
18-24,0,Masters degree,25.0,45.0,40.0,42.0,47.0,0.19268,-0.52593,4,2,0
35-44,0,University degree,34.0,39.0,47.0,44.0,48.0,-1.37983,0.07987000000000001,3,2,0
25-34,1,University degree,48.0,27.0,44.0,44.0,45.0,-1.37983,-0.21575,4,3,0
45-54,1,Doctorate degree,34.0,36.0,52.0,38.0,40.0,1.86203,0.7654,6,6,5
18-24,0,University degree,44.0,34.0,51.0,38.0,22.0,0.88113,-0.21575,6,3,0
35-44,1,University degree,51.0,37.0,48.0,28.0,37.0,0.88113,0.40148,6,4,1
35-44,0,Masters degree,31.0,36.0,47.0,47.0,47.0,-1.37983,-2.07848,6,1,0
18-24,0,University degree,42.0,40.0,47.0,47.0,43.0,-0.21712,0.07987000000000001,6,6,0
25-34,1,Masters degree,45.0,48.0,57.0,26.0,39.0,0.52975,0.07987000000000001,6,4,3
18-24,0,University degree,48.0,30.0,54.0,31.0,44.0,0.88113,0.07987000000000001,6,5,3
18-24,1,College or university dropout,50.0,30.0,28.0,54.0,32.0,0.52975,-1.18084,6,2,0
35-44,1,College or university dropout,44.0,43.0,55.0,44.0,24.0,1.29221,1.2247,6,2,0
45-54,1,Left school at 18,46.0,33.0,42.0,52.0,32.0,-0.21712,0.40148,6,1,0
18-24,0,University degree,39.0,34.0,53.0,48.0,48.0,0.19268,-0.21575,5,3,3
18-24,0,Masters degree,49.0,32.0,46.0,40.0,39.0,1.29221,0.7654,6,2,0
18-24,0,University degree,39.0,44.0,53.0,50.0,40.0,-0.71126,0.7654,6,6,0
45-54,1,University degree,38.0,40.0,54.0,43.0,51.0,-0.21712,-0.21575,2,1,0
35-44,1,University degree,35.0,41.0,41.0,41.0,43.0,-1.37983,-1.18084,6,0,0
25-34,1,University degree,25.0,51.0,55.0,48.0,42.0,0.88113,1.2247,6,3,0
45-54,0,Left school at 16,59.0,28.0,36.0,53.0,26.0,-0.21712,0.07987000000000001,6,1,6
18-24,0,University degree,37.0,45.0,48.0,42.0,47.0,-0.71126,-0.8463700000000001,6,0,0
18-24,1,Masters degree,27.0,55.0,53.0,50.0,55.0,-0.21712,0.40148,6,6,0
18-24,0,Left school before 16,39.0,40.0,45.0,51.0,42.0,0.19268,-0.21575,6,3,2
35-44,0,College or university dropout,49.0,40.0,43.0,38.0,38.0,0.88113,-0.21575,6,6,2
55-64,0,University degree,33.0,46.0,47.0,42.0,45.0,-1.37983,-2.07848,6,0,0
45-54,0,University degree,25.0,46.0,43.0,48.0,48.0,-0.71126,-0.8463700000000001,6,6,0
35-44,1,University degree,52.0,33.0,50.0,31.0,39.0,0.19268,-0.8463700000000001,6,2,0
35-44,0,Professional certificate/ diploma,50.0,35.0,41.0,35.0,32.0,1.29221,0.7654,6,2,0
25-34,0,University degree,40.0,45.0,44.0,49.0,46.0,-0.21712,0.07987000000000001,6,2,0
25-34,0,Masters degree,40.0,37.0,55.0,52.0,44.0,0.19268,0.40148,6,2,0
18-24,1,College or university dropout,47.0,34.0,45.0,34.0,37.0,-1.37983,-0.8463700000000001,6,3,3
35-44,0,University degree,46.0,41.0,48.0,42.0,46.0,0.19268,0.40148,6,3,2
35-44,1,College or university dropout,29.0,39.0,48.0,44.0,52.0,-0.71126,-0.21575,6,6,0
25-34,0,University degree,48.0,43.0,55.0,45.0,48.0,0.19268,-0.8463700000000001,5,6,0
35-44,0,Left school at 16,30.0,46.0,42.0,48.0,40.0,-1.37983,-1.18084,6,6,0
45-54,0,Left school at 16,31.0,42.0,35.0,50.0,36.0,-1.37983,-0.8463700000000001,6,6,0
25-34,1,Left school at 18,50.0,28.0,53.0,38.0,31.0,-0.71126,-1.18084,6,5,0
35-44,0,Left school at 18,53.0,27.0,54.0,36.0,44.0,0.19268,-0.52593,6,6,0
25-34,1,Left school at 16,40.0,30.0,47.0,48.0,39.0,-0.21712,1.2247,6,6,0
18-24,1,Left school before 16,54.0,30.0,48.0,30.0,29.0,-0.21712,0.07987000000000001,0,6,0
18-24,1,College or university dropout,26.0,47.0,52.0,34.0,31.0,-0.71126,1.2247,6,6,0
45-54,0,Professional certificate/ diploma,42.0,45.0,49.0,41.0,36.0,1.29221,1.92173,6,6,1
18-24,1,Left school at 18,27.0,43.0,49.0,47.0,42.0,0.19268,0.40148,5,6,0
18-24,1,Professional certificate/ diploma,41.0,36.0,52.0,43.0,44.0,0.88113,0.7654,6,6,0
18-24,1,College or university dropout,43.0,28.0,52.0,35.0,29.0,-1.37983,-0.52593,6,3,0
18-24,1,Professional certificate/ diploma,25.0,37.0,49.0,47.0,43.0,-1.37983,-0.21575,6,6,0
55-64,1,College or university dropout,28.0,41.0,50.0,47.0,48.0,-1.37983,-0.52593,6,2,4
25-34,1,Masters degree,36.0,48.0,60.0,39.0,42.0,-0.71126,0.07987000000000001,6,2,0
25-34,1,Left school at 16,35.0,36.0,52.0,46.0,36.0,-0.21712,0.07987000000000001,6,6,0
55-64,0,College or university dropout,49.0,35.0,55.0,42.0,27.0,0.88113,1.2247,6,6,1
35-44,0,Professional certificate/ diploma,36.0,43.0,40.0,38.0,49.0,0.52975,0.7654,6,6,0
25-34,0,Professional certificate/ diploma,30.0,39.0,36.0,43.0,39.0,0.88113,-2.07848,6,2,2
18-24,1,College or university dropout,22.0,44.0,44.0,39.0,40.0,0.52975,0.7654,6,6,0
55-64,0,Professional certificate/ diploma,36.0,38.0,44.0,38.0,46.0,1.29221,0.7654,5,5,4
35-44,1,Left school at 16,35.0,40.0,44.0,43.0,45.0,-1.37983,-1.18084,6,6,0
45-54,1,Professional certificate/ diploma,40.0,43.0,48.0,36.0,33.0,0.88113,0.07987000000000001,6,2,0
35-44,1,University degree,31.0,44.0,52.0,38.0,46.0,0.19268,0.07987000000000001,6,2,0
25-34,1,University degree,37.0,38.0,39.0,34.0,42.0,0.19268,-0.52593,5,6,0
35-44,1,Left school at 16,50.0,32.0,38.0,31.0,36.0,-0.71126,0.07987000000000001,5,2,0
35-44,0,Masters degree,26.0,47.0,44.0,45.0,43.0,-1.37983,-0.52593,5,0,0
35-44,1,University degree,36.0,46.0,42.0,41.0,39.0,0.52975,-0.21575,6,5,0
45-54,0,Masters degree,40.0,43.0,45.0,42.0,44.0,-0.21712,-1.18084,6,5,1
18-24,1,College or university dropout,40.0,43.0,50.0,44.0,34.0,1.86203,0.40148,6,6,5
55-64,1,Left school at 16,34.0,38.0,45.0,48.0,45.0,-0.21712,-0.21575,6,5,2
35-44,1,Left school at 16,45.0,38.0,35.0,40.0,40.0,-0.21712,-0.21575,5,0,0
18-24,0,Left school at 17,23.0,52.0,49.0,44.0,44.0,0.88113,1.92173,6,6,4
35-44,0,Left school at 16,34.0,41.0,41.0,32.0,44.0,-0.21712,-0.52593,6,2,2
25-34,0,Masters degree,39.0,39.0,48.0,40.0,48.0,-0.71126,-0.21575,6,2,0
25-34,1,Professional certificate/ diploma,41.0,36.0,47.0,42.0,36.0,0.52975,1.2247,6,6,2
25-34,1,Masters degree,34.0,42.0,37.0,50.0,53.0,0.52975,1.2247,5,3,0
35-44,0,University degree,38.0,38.0,39.0,38.0,48.0,-1.37983,-2.07848,6,3,0
45-54,0,Left school at 16,42.0,38.0,40.0,40.0,43.0,-0.71126,-1.18084,5,4,0
18-24,1,College or university dropout,36.0,42.0,46.0,34.0,41.0,0.52975,0.07987000000000001,6,6,0
18-24,1,College or university dropout,33.0,43.0,45.0,38.0,32.0,0.19268,0.07987000000000001,6,6,0
35-44,0,Left school before 16,37.0,34.0,33.0,44.0,45.0,-1.37983,-2.07848,6,2,2
45-54,0,University degree,29.0,44.0,53.0,55.0,56.0,0.19268,0.07987000000000001,0,6,6
55-64,1,Left school at 18,20.0,43.0,38.0,43.0,45.0,-0.71126,-0.52593,6,0,0
18-24,1,Professional certificate/ diploma,45.0,30.0,44.0,30.0,31.0,0.88113,0.07987000000000001,4,5,3
35-44,1,Doctorate degree,42.0,39.0,45.0,47.0,29.0,0.52975,-0.21575,6,2,0
25-34,0,Professional certificate/ diploma,43.0,47.0,46.0,43.0,42.0,-0.21712,1.2247,6,3,0
55-64,1,University degree,45.0,40.0,50.0,30.0,46.0,-0.21712,-1.18084,6,1,0
45-54,1,University degree,46.0,29.0,41.0,45.0,35.0,-0.21712,0.7654,6,6,2
18-24,0,University degree,33.0,41.0,41.0,53.0,49.0,0.19268,-1.18084,5,0,0
25-34,1,Masters degree,32.0,39.0,41.0,32.0,37.0,0.52975,0.07987000000000001,5,0,0
35-44,0,Masters degree,20.0,54.0,43.0,52.0,51.0,0.19268,-1.18084,6,0,0
25-34,0,University degree,45.0,40.0,52.0,29.0,38.0,0.19268,-0.21575,6,2,3
18-24,0,University degree,49.0,45.0,39.0,49.0,37.0,0.52975,0.07987000000000001,5,4,0
45-54,0,College or university dropout,43.0,38.0,37.0,48.0,35.0,-1.37983,-1.5485799999999998,6,0,0
35-44,0,University degree,47.0,38.0,46.0,47.0,46.0,0.19268,0.40148,6,0,0
45-54,1,Masters degree,24.0,48.0,45.0,47.0,53.0,-2.55524,-1.18084,6,0,0
45-54,0,University degree,26.0,42.0,45.0,37.0,43.0,-1.37983,-1.5485799999999998,6,1,0
45-54,0,University degree,38.0,45.0,46.0,48.0,45.0,0.19268,0.07987000000000001,6,0,0
